#[%Y%m%d%H%M%S UTC]	[active valve]	[state]	[0 = start | 1 = manual | 2 = timeout | 3 = optimal | 4 = alert]
timestamp	ID	measurement	switchCode
20220705204608	atm1	0	0
20220705204708	std_Meer	1	2
20220705205343	atm1	0	0
20220705205444	std_WEK	1	2
20220705210322	atm1	0	3
20220705210422	std_FSM	1	2
20220705210916	atm1	0	3
20220705211027	FR_H_119_20	1	3
20220705211533	atm1	0	3
20220705211634	FR_H_117_65	1	3
20220705212135	atm1	0	3
20220705212237	FR_H_119_260	1	3
20220705212941	atm1	0	3
20220705213042	FR_H_119_65	1	3
20220705213453	atm1	0	3
20220705213555	FR_H_117_80	1	3
20220705214108	atm1	0	3
20220705214209	FR_H_119_35	1	3
20220705214408	atm1	0	3
20220705214509	FR_H_119_200	1	3
20220705215135	atm1	0	3
20220705215236	FR_H_119_50	1	3
20220705215726	atm1	0	3
20220705215827	FR_H_119_10	1	3
20220705220002	atm1	0	3
20220705220103	FR_H_119_95	1	3
20220705220730	atm1	0	3
20220705220831	FR_H_120_20	1	3
20220705221402	atm1	0	3
20220705221503	FR_H_119_110	1	3
20220705222056	atm1	0	3
20220705222157	FR_H_117_50	1	3
20220705222706	atm1	0	3
20220705222808	FR_H_119_170	1	3
20220705223545	atm1	0	3
20220705223646	FR_H_117_35	1	3
20220705224227	atm1	0	3
20220705224328	FR_H_119_150	1	3
20220705224857	atm1	0	3
20220705224958	FR_H_117_10	1	3
20220705225653	atm1	0	3
20220705225754	FR_H_119_130	1	3
20220705230243	atm1	0	3
20220705230344	FR_T_119_80	1	3
20220705230906	atm1	0	3
20220705231010	std_Meer	1	3
20220705231759	atm1	0	3
20220705231910	std_WEK	1	3
20220705232453	atm1	0	3
20220705232611	std_FSM	1	3
20220705233223	empty	0	3
20220705233324	atm1	0	2
20220706144103	atm1	0	0
20220706144405	atm1	0	1
20220706144414	atm1	0	1
20220706144516	std_Meer	1	3
20220706145459	atm1	0	3
20220706145630	std_WEK	1	2
20220706150228	atm1	0	3
20220706150350	std_FSM	1	3
20220706151004	atm1	0	3
20220706151123	FR_H_141_035	1	3
20220706151711	atm1	0	3
20220706151813	FR_H_141_110	1	3
20220706152343	atm1	0	3
20220706152445	FR_H_140_095	1	3
20220706153012	atm1	0	3
20220706153112	FR_H_140_300	1	3
20220706153644	atm1	0	3
20220706153746	FR_H_141_095	1	3
20220706154307	atm1	0	3
20220706154408	FR_H_141_260	1	3
20220706154851	atm1	0	3
20220706154952	FR_H_141_080	1	3
20220706155459	atm1	0	3
20220706155601	FR_H_140_065	1	3
20220706160224	atm1	0	3
20220706160324	FR_H_129_035	1	3
20220706160509	atm1	0	3
20220706160611	FR_H_129_110	1	3
20220706161307	atm1	0	3
20220706161409	FR_H_141_170	1	3
20220706161757	atm1	0	3
20220706161857	FR_H_129_200	1	3
20220706162526	atm1	0	3
20220706162628	FR_H_141_065	1	3
20220706163015	atm1	0	3
20220706163117	FR_H_140_080	1	3
20220706163602	atm1	0	3
20220706163703	FR_H_140_260	1	3
20220706164126	atm1	0	3
20220706164227	FR_H_128_035	1	3
20220706164640	atm1	0	1
20220706164704	FR_H_128_035	1	1
20220706165024	atm1	0	3
20220706165126	FR_H_129_150	1	3
20220706165722	atm1	0	3
20220706165822	FR_H_140_200	1	3
20220706170501	atm1	0	3
20220706170603	FR_H_128_230	1	3
20220706171242	atm1	0	3
20220706171342	FR_H_141_050	1	3
20220706171914	atm1	0	3
20220706172014	std_Meer	1	3
20220706173015	atm1	0	2
20220706173117	std_WEK	1	3
20220706173819	atm1	0	3
20220706173928	std_FSM	1	3
20220706174511	atm1	0	3
20220707150600	atm1	0	0
20220707150617	atm1	0	1
20220707150642	atm1	0	1
20220707150743	xxx 	1	3
20220707150855	atm1	0	3
20220707150956	xxx 	1	3
20220707151136	atm1	0	0
20220707151151	atm1	0	1
20220707151155	atm1	0	1
20220707151204	xxx 	1	1
20220707151253	atm1	0	1
20220707151307	atm1	0	1
