DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               DasTemp                   EtalonTemp                MPVPosition               OutletValve               ValveMask                 H2O                       Delta_18_16               Delta_D_H                 CH4                       n2_flag                   baseline_shift            slope_shift               residuals                 
2021-03-11                15:04:47.615              69.62832889               1671.079893               70.62832889               1615475087.616            0                         963                       4.9997136943E+01          8.0001976013E+01          4.4999168396E+01          3.7500000000E+01          4.4823844910E+01          0.0000000000E+00          2.1736589844E+04          0.0000000000E+00          1.2528480189E+04          -1.7770019997E+01         -1.1300392469E+02         1.7145540941E+00          0.0000000000E+00          6.0092471529E+01          2.1812334967E+01          1.2105927938E+00          
2021-03-11                15:04:48.474              69.62833883               1671.080132               70.62833883               1615475088.475            0                         963                       4.9999610901E+01          8.0001976013E+01          4.4999168396E+01          3.7500000000E+01          4.4823844910E+01          0.0000000000E+00          2.1737964844E+04          0.0000000000E+00          1.2539926185E+04          -1.7682446534E+01         -1.1179826601E+02         2.5686582319E+00          0.0000000000E+00          5.9375715742E+01          2.6065505847E+01          1.0419789030E+00          
2021-03-11                15:04:49.334              69.62834877               1671.080371               70.62834877               1615475089.334            0                         963                       5.0000062052E+01          8.0002214050E+01          4.4999137878E+01          3.7500000000E+01          4.4823851013E+01          0.0000000000E+00          2.1738231706E+04          0.0000000000E+00          1.2550911474E+04          -1.8035303657E+01         -1.1444971989E+02         5.8452516040E-01          0.0000000000E+00          6.1430261501E+01          2.3719889382E+01          8.3693785509E-01          
2021-03-11                15:04:50.187              69.62835865               1671.080608               70.62835865               1615475090.187            0                         963                       4.9997516912E+01          8.0003166199E+01          4.4999015808E+01          3.7500000000E+01          4.4823875427E+01          0.0000000000E+00          2.1736203906E+04          0.0000000000E+00          1.2558626610E+04          -1.7836335702E+01         -1.1380777222E+02         2.0258824216E+00          0.0000000000E+00          5.8364073884E+01          2.9432769857E+01          9.9381573389E-01          
2021-03-11                15:04:51.042              69.62836855               1671.080845               70.62836855               1615475091.043            0                         963                       4.9998427124E+01          8.0003166199E+01          4.4999015808E+01          3.7500000000E+01          4.4823875427E+01          0.0000000000E+00          2.1736320859E+04          0.0000000000E+00          1.2570275919E+04          -1.7622122701E+01         -1.1323763271E+02         7.7990120283E-02          0.0000000000E+00          5.9949169621E+01          2.8003605475E+01          8.2337109083E-01          
2021-03-11                15:04:51.900              69.62837847               1671.081083               70.62837847               1615475091.900            0                         963                       4.9999816895E+01          8.0003166199E+01          4.4999015808E+01          3.7500000000E+01          4.4823875427E+01          0.0000000000E+00          2.1737025391E+04          0.0000000000E+00          1.2579470074E+04          -1.7758684050E+01         -1.1393964002E+02         3.2069691115E+00          0.0000000000E+00          5.8119013664E+01          2.7621398631E+01          1.3842312086E+00          
2021-03-11                15:04:52.753              69.62838836               1671.081321               70.62838836               1615475092.754            0                         963                       4.9998843231E+01          8.0003166199E+01          4.4999015808E+01          3.7500000000E+01          4.4823875427E+01          0.0000000000E+00          2.1736148906E+04          0.0000000000E+00          1.2592820810E+04          -1.7922851955E+01         -1.1397701166E+02         -6.7833230852E-02         0.0000000000E+00          6.1017179065E+01          2.6691111160E+01          5.6844572749E-01          
2021-03-11                15:04:53.615              69.62839832               1671.081560               70.62839832               1615475093.615            0                         963                       4.9998994370E+01          8.0003166199E+01          4.4999015808E+01          3.7500000000E+01          4.4823875427E+01          0.0000000000E+00          2.1735159844E+04          0.0000000000E+00          1.2602468234E+04          -1.7653748323E+01         -1.1362310617E+02         1.0139738496E+00          0.0000000000E+00          6.0213886550E+01          2.6962836777E+01          7.7192866922E-01          
2021-03-11                15:04:54.480              69.62840834               1671.081800               70.62840834               1615475094.481            0                         963                       4.9999865189E+01          8.0004588928E+01          4.4999105530E+01          3.7500000000E+01          4.4823747253E+01          0.0000000000E+00          2.1735194141E+04          0.0000000000E+00          1.2614022004E+04          -1.8200479845E+01         -1.1256897462E+02         3.1829525292E+00          0.0000000000E+00          5.9430687290E+01          2.7355391338E+01          7.7905326200E-01          
2021-03-11                15:04:55.335              69.62841824               1671.082038               70.62841824               1615475095.336            0                         963                       5.0000036774E+01          8.0006553650E+01          4.4999229431E+01          3.7500000000E+01          4.4823570251E+01          0.0000000000E+00          2.1735031693E+04          0.0000000000E+00          1.2621745318E+04          -1.8349214912E+01         -1.1234813295E+02         3.0628743488E+00          0.0000000000E+00          5.9732704751E+01          2.4100978458E+01          1.0339065853E+00          
