DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               DasTemp                   EtalonTemp                MPVPosition               OutletValve               ValveMask                 H2O                       Delta_18_16               Delta_D_H                 CH4                       n2_flag                   baseline_shift            slope_shift               residuals                 
2021-03-11                14:04:40.743              69.58658267               1670.077984               70.58658267               1615471480.743            0                         963                       5.0000577291E+01          7.9999687195E+01          4.4999015808E+01          3.7812500000E+01          4.4824028015E+01          0.0000000000E+00          3.1072274740E+04          0.0000000000E+00          1.0474268980E+04          -1.3129414204E+01         -1.1345996473E+02         6.0132105110E-01          0.0000000000E+00          4.7501307268E+01          1.8431328294E+01          6.7664620381E-01          
2021-03-11                14:04:41.595              69.58659255               1670.078221               70.58659255               1615471481.596            0                         963                       5.0001294479E+01          7.9999687195E+01          4.4999015808E+01          3.7812500000E+01          4.4824028015E+01          0.0000000000E+00          3.1072355664E+04          0.0000000000E+00          1.0476276867E+04          -1.3853543784E+01         -1.1178022113E+02         4.2047317161E-01          0.0000000000E+00          4.6716206786E+01          2.2010631674E+01          7.1435481033E-01          
2021-03-11                14:04:42.448              69.58660242               1670.078458               70.58660242               1615471482.449            0                         963                       5.0002040482E+01          7.9999687195E+01          4.4999015808E+01          3.7812500000E+01          4.4824028015E+01          0.0000000000E+00          3.1072292187E+04          0.0000000000E+00          1.0470791412E+04          -1.3372648653E+01         -1.1243051402E+02         3.6308741125E+00          0.0000000000E+00          4.5971830030E+01          1.9881657415E+01          9.4016409207E-01          
2021-03-11                14:04:43.311              69.58661240               1670.078698               70.58661240               1615471483.311            0                         963                       4.9997196198E+01          7.9999687195E+01          4.4999015808E+01          3.7812500000E+01          4.4824028015E+01          0.0000000000E+00          3.1069050781E+04          0.0000000000E+00          1.0475229621E+04          -1.3304956569E+01         -1.1358139987E+02         2.4229172128E-01          0.0000000000E+00          4.7839362823E+01          2.2752442269E+01          7.5778230726E-01          
2021-03-11                14:04:44.167              69.58662231               1670.078936               70.58662231               1615471484.168            0                         963                       4.9996284841E+01          7.9999687195E+01          4.4999015808E+01          3.7812500000E+01          4.4824028015E+01          0.0000000000E+00          3.1067510469E+04          0.0000000000E+00          1.0472641282E+04          -1.3344925859E+01         -1.1192355964E+02         2.0107733975E+00          0.0000000000E+00          4.5088480822E+01          2.3984282251E+01          6.7419732185E-01          
2021-03-11                14:04:45.020              69.58663219               1670.079172               70.58663219               1615471485.021            0                         963                       4.9996961263E+01          7.9997384949E+01          4.4999099223E+01          3.7812500000E+01          4.4824011332E+01          0.0000000000E+00          3.1066527656E+04          0.0000000000E+00          1.0474980180E+04          -1.4005888461E+01         -1.1134031691E+02         1.5773793385E+00          0.0000000000E+00          4.6798736663E+01          1.8430178898E+01          7.0680971226E-01          
2021-03-11                14:04:45.880              69.58664213               1670.079411               70.58664213               1615471485.880            0                         963                       4.9998529409E+01          7.9995475769E+01          4.4999168396E+01          3.7812500000E+01          4.4823997498E+01          0.0000000000E+00          3.1066356302E+04          0.0000000000E+00          1.0475116830E+04          -1.3842670622E+01         -1.1350963627E+02         2.4785750718E+00          0.0000000000E+00          4.6574320855E+01          1.9533451541E+01          7.3850515361E-01          
2021-03-11                14:04:46.733              69.58665201               1670.079648               70.58665201               1615471486.734            0                         963                       5.0000785828E+01          7.9995475769E+01          4.4999168396E+01          3.7812500000E+01          4.4823997498E+01          0.0000000000E+00          3.1067355469E+04          0.0000000000E+00          1.0478263391E+04          -1.3454719586E+01         -1.1386510845E+02         2.0284016184E+00          0.0000000000E+00          4.5841809597E+01          2.3999504135E+01          6.9820417073E-01          
2021-03-11                14:04:47.588              69.58666190               1670.079886               70.58666190               1615471487.588            0                         963                       4.9998477605E+01          7.9995475769E+01          4.4999168396E+01          3.7812500000E+01          4.4823997498E+01          0.0000000000E+00          3.1065847891E+04          0.0000000000E+00          1.0480104433E+04          -1.3717711327E+01         -1.1349398316E+02         8.6983425651E-01          0.0000000000E+00          4.6292066136E+01          2.0625424181E+01          7.7936148707E-01          
2021-03-11                14:04:48.446              69.58667183               1670.080124               70.58667183               1615471488.446            0                         963                       4.9997168986E+01          7.9995475769E+01          4.4999168396E+01          3.7812500000E+01          4.4823997498E+01          0.0000000000E+00          3.1064749089E+04          0.0000000000E+00          1.0477886951E+04          -1.3647259694E+01         -1.1151084315E+02         2.9076368713E+00          0.0000000000E+00          4.6109274980E+01          2.3117641337E+01          6.9935648413E-01          
