DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               DasTemp                   EtalonTemp                MPVPosition               OutletValve               ValveMask                 H2O                       Delta_18_16               Delta_D_H                 CH4                       n2_flag                   baseline_shift            slope_shift               residuals                 
2021-03-11                17:04:59.862              69.71180397               1673.083295               70.71180397               1615482299.863            2                         963                       5.0000727081E+01          7.9993125916E+01          4.5000236511E+01          3.7312500000E+01          4.4825401306E+01          0.0000000000E+00          3.1210579688E+04          0.0000000000E+00          4.0339853453E+02          -3.1348803715E+01         -8.0007415090E+01         8.9164073021E-02          0.0000000000E+00          7.5779204494E+00          1.5014955274E-01          3.1490339885E-01          
2021-03-11                17:05:00.716              69.71181384               1673.083532               70.71181384               1615482300.716            2                         963                       5.0001327972E+01          7.9993125916E+01          4.5000236511E+01          3.7312500000E+01          4.4825401306E+01          0.0000000000E+00          3.1210740781E+04          0.0000000000E+00          4.0441826501E+02          -3.0198799930E+01         -7.8404829721E+01         -5.7936383566E-01         0.0000000000E+00          7.8246423466E+00          3.4130310223E+00          2.8054213257E-01          
2021-03-11                17:05:01.569              69.71182373               1673.083769               70.71182373               1615482301.570            2                         963                       5.0001792145E+01          7.9993125916E+01          4.5000236511E+01          3.7293750000E+01          4.4825401306E+01          0.0000000000E+00          3.1210974219E+04          0.0000000000E+00          4.0211262349E+02          -3.1557751992E+01         -8.5413721960E+01         1.0936175876E-01          0.0000000000E+00          7.9830354422E+00          1.6654960989E+00          2.2910940744E-01          
2021-03-11                17:05:02.424              69.71183362               1673.084007               70.71183362               1615482302.425            2                         963                       4.9998616231E+01          7.9993125916E+01          4.5000236511E+01          3.7250000000E+01          4.4825401306E+01          0.0000000000E+00          3.1209469753E+04          0.0000000000E+00          4.0279021441E+02          -2.7887840821E+01         -7.9945273951E+01         -2.0179240113E-01         0.0000000000E+00          8.1183005804E+00          2.3002404326E+00          2.7076760219E-01          
2021-03-11                17:05:03.282              69.71184354               1673.084245               70.71184354               1615482303.282            2                         963                       4.9993885040E+01          7.9993125916E+01          4.5000236511E+01          3.7250000000E+01          4.4825401306E+01          0.0000000000E+00          3.1206378906E+04          0.0000000000E+00          4.0351671013E+02          -2.9916741809E+01         -7.7490003331E+01         -7.2337947233E-02         0.0000000000E+00          7.7920307653E+00          2.3655682404E+00          1.9906648957E-01          
2021-03-11                17:05:04.135              69.71185343               1673.084482               70.71185343               1615482304.136            2                         963                       4.9998888270E+01          7.9993125916E+01          4.5000236511E+01          3.7250000000E+01          4.4825401306E+01          0.0000000000E+00          3.1208738919E+04          0.0000000000E+00          4.0114391740E+02          -2.8045544513E+01         -1.0722541584E+02         -1.6013539405E-01         0.0000000000E+00          7.8310190465E+00          1.5126095845E+00          2.0634831494E-01          
2021-03-11                17:05:04.989              69.71186330               1673.084719               70.71186330               1615482304.989            2                         963                       5.0000107066E+01          7.9992940776E+01          4.5000236511E+01          3.7250000000E+01          4.4825330098E+01          0.0000000000E+00          3.1209096094E+04          0.0000000000E+00          4.0240744747E+02          -2.6344198668E+01         -9.2271949083E+01         -5.7469918164E-01         0.0000000000E+00          7.8879352827E+00          1.6987876743E+00          2.3567654310E-01          
2021-03-11                17:05:05.842              69.71187317               1673.084956               70.71187317               1615482305.842            2                         963                       5.0001043955E+01          7.9992729187E+01          4.5000236511E+01          3.7261666667E+01          4.4825248718E+01          0.0000000000E+00          3.1209408594E+04          0.0000000000E+00          4.0296249596E+02          -2.9331565519E+01         -1.0090743389E+02         1.2515785586E+00          0.0000000000E+00          7.2320860522E+00          2.5935677810E+00          2.9098273356E-01          
2021-03-11                17:05:06.696              69.71188306               1673.085193               70.71188306               1615482306.696            2                         963                       5.0003681183E+01          7.9992729187E+01          4.5000236511E+01          3.7312500000E+01          4.4825248718E+01          0.0000000000E+00          3.1210457031E+04          0.0000000000E+00          4.0286432623E+02          -2.8278426028E+01         -7.4725362924E+01         -4.7367385279E-01         0.0000000000E+00          7.8187364775E+00          2.4976025451E+00          2.9359109849E-01          
2021-03-11                17:05:07.549              69.71189293               1673.085430               70.71189293               1615482307.549            2                         963                       5.0002366892E+01          7.9992729187E+01          4.5000236511E+01          3.7312500000E+01          4.4825248718E+01          0.0000000000E+00          3.1209486615E+04          0.0000000000E+00          4.0142613506E+02          -2.8836596232E+01         -8.0787562707E+01         1.9864177427E-01          0.0000000000E+00          7.7505520831E+00          1.1371465239E+00          1.9546423050E-01          
