DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               DasTemp                   EtalonTemp                MPVPosition               OutletValve               ValveMask                 H2O                       Delta_18_16               Delta_D_H                 CH4                       n2_flag                   baseline_shift            slope_shift               residuals                 
2021-03-11                16:04:53.503              69.67006370               1672.081529               70.67006370               1615478693.504            0                         963                       5.0001143697E+01          8.0005058289E+01          4.5001152039E+01          3.7625000000E+01          4.4825737000E+01          0.0000000000E+00          3.1156076745E+04          0.0000000000E+00          3.1868502219E+03          -2.3630032415E+01         -1.0862762829E+02         9.8515017969E-01          0.0000000000E+00          2.4033310027E+01          5.1307986759E+00          3.9396240571E-01          
2021-03-11                16:04:54.361              69.67007363               1672.081767               70.67007363               1615478694.362            0                         963                       5.0000146866E+01          8.0005122375E+01          4.5001130676E+01          3.7625000000E+01          4.4825715637E+01          0.0000000000E+00          3.1155648438E+04          0.0000000000E+00          3.1144395572E+03          -2.3609146373E+01         -1.0642918243E+02         -1.2855200382E-01         0.0000000000E+00          2.4103600053E+01          6.4257964178E+00          3.2199462867E-01          
2021-03-11                16:04:55.220              69.67008356               1672.082006               70.67008356               1615478695.220            0                         963                       5.0001682281E+01          8.0005332947E+01          4.5001060486E+01          3.7625000000E+01          4.4825645447E+01          0.0000000000E+00          3.1156951172E+04          0.0000000000E+00          3.0451885439E+03          -2.5189594461E+01         -1.0772268069E+02         1.1600740209E+00          0.0000000000E+00          2.2800065698E+01          5.6624332258E+00          5.8861333974E-01          
2021-03-11                16:04:56.075              69.67009347               1672.082243               70.67009347               1615478696.076            2                         963                       4.9996463954E+01          8.0005332947E+01          4.5001060486E+01          3.7625000000E+01          4.4825645447E+01          0.0000000000E+00          3.1153867083E+04          0.0000000000E+00          2.9762736316E+03          -2.5267265955E+01         -1.0531428250E+02         1.2800255154E+00          0.0000000000E+00          2.2953776360E+01          3.8076948937E+00          3.6754149873E-01          
2021-03-11                16:04:56.930              69.67010336               1672.082481               70.67010336               1615478696.930            2                         963                       4.9996422323E+01          8.0005332947E+01          4.5001060486E+01          3.7625000000E+01          4.4825645447E+01          0.0000000000E+00          3.1153405208E+04          0.0000000000E+00          2.9101920303E+03          -2.4258337491E+01         -1.0372559202E+02         1.4254538870E+00          0.0000000000E+00          2.1811884280E+01          5.4380015983E+00          4.0752578243E-01          
2021-03-11                16:04:57.782              69.67011323               1672.082717               70.67011323               1615478697.783            2                         963                       5.0002278137E+01          8.0005332947E+01          4.5001060486E+01          3.7625000000E+01          4.4825645447E+01          0.0000000000E+00          3.1156926745E+04          0.0000000000E+00          2.8509970739E+03          -2.4395431090E+01         -1.0692039438E+02         1.4740270830E+00          0.0000000000E+00          2.1434124850E+01          5.1865422223E+00          4.5362255516E-01          
2021-03-11                16:04:58.637              69.67012311               1672.082955               70.67012311               1615478698.637            2                         963                       5.0002514216E+01          8.0005177307E+01          4.5001050110E+01          3.7625000000E+01          4.4825655823E+01          0.0000000000E+00          3.1157395273E+04          0.0000000000E+00          2.7938267709E+03          -2.3357101744E+01         -1.0380202812E+02         2.8536712379E-01          0.0000000000E+00          2.1162769271E+01          7.3183871162E+00          3.7346009652E-01          
2021-03-11                16:04:59.490              69.67013300               1672.083192               70.67013300               1615478699.491            2                         963                       5.0003406525E+01          8.0003959656E+01          4.5000968933E+01          3.7625000000E+01          4.4825737000E+01          0.0000000000E+00          3.1157601562E+04          0.0000000000E+00          2.7417044809E+03          -2.5884984987E+01         -1.1025939878E+02         -1.1373072210E-01         0.0000000000E+00          2.1175481915E+01          4.3470820921E+00          3.8362417983E-01          
2021-03-11                16:05:00.348              69.67014293               1672.083430               70.67014293               1615478700.349            2                         963                       4.9998231252E+01          8.0003959656E+01          4.5000968933E+01          3.7625000000E+01          4.4825737000E+01          0.0000000000E+00          3.1154632812E+04          0.0000000000E+00          2.6844562472E+03          -2.4098691312E+01         -1.0388272760E+02         2.2302526991E-01          0.0000000000E+00          2.1050558428E+01          5.5865040921E+00          3.5622768770E-01          
2021-03-11                16:05:01.203              69.67015281               1672.083668               70.67015281               1615478701.203            2                         963                       4.9998838399E+01          8.0003959656E+01          4.5000968933E+01          3.7625000000E+01          4.4825737000E+01          0.0000000000E+00          3.1155051706E+04          0.0000000000E+00          2.6326832409E+03          -2.3650545452E+01         -1.0132989432E+02         1.4557244201E+00          0.0000000000E+00          2.0165672728E+01          5.5887405685E+00          3.8553801750E-01          
2021-03-11                16:05:02.058              69.67016271               1672.083905               70.67016271               1615478702.058            2                         963                       5.0002052409E+01          8.0003959656E+01          4.5000968933E+01          3.7625000000E+01          4.4825737000E+01          0.0000000000E+00          3.1156853828E+04          0.0000000000E+00          2.5860995950E+03          -2.4571246630E+01         -1.0405945742E+02         6.3041842238E-01          0.0000000000E+00          2.0619994501E+01          3.3213751691E+00          3.8843164876E-01          
2021-03-11                16:05:02.914              69.67017263               1672.084143               70.67017263               1615478702.915            2                         963                       5.0000378571E+01          8.0003959656E+01          4.5000968933E+01          3.7625000000E+01          4.4825737000E+01          0.0000000000E+00          3.1156194766E+04          0.0000000000E+00          2.5436347106E+03          -2.5847570671E+01         -1.0448825518E+02         6.7530650762E-01          0.0000000000E+00          1.9919615327E+01          3.8286950175E+00          3.6650132425E-01          
2021-03-11                16:05:03.769              69.67018251               1672.084380               70.67018251               1615478703.769            2                         963                       4.9997721252E+01          8.0003959656E+01          4.5000968933E+01          3.7625000000E+01          4.4825737000E+01          0.0000000000E+00          3.1154603594E+04          0.0000000000E+00          2.4990525879E+03          -2.5340318760E+01         -9.8813293551E+01         1.1857136512E+00          0.0000000000E+00          1.9037239614E+01          3.4705929722E+00          3.7725571970E-01          
2021-03-11                16:05:04.621              69.67019238               1672.084617               70.67019238               1615478704.622            2                         963                       4.9997903290E+01          8.0004721578E+01          4.5000816549E+01          3.7669583333E+01          4.4825649923E+01          0.0000000000E+00          3.1153915000E+04          0.0000000000E+00          2.4514815508E+03          -2.1709819263E+01         -1.0626151599E+02         -1.0733969345E-01         0.0000000000E+00          1.8438040683E+01          6.0453356740E+00          2.5327005455E-01          
2021-03-11                16:05:05.474              69.67020226               1672.084854               70.67020226               1615478705.475            2                         963                       4.9999457550E+01          8.0005027771E+01          4.5000755310E+01          3.7660416667E+01          4.4825614929E+01          0.0000000000E+00          3.1154696094E+04          0.0000000000E+00          2.4169836445E+03          -2.5142550891E+01         -1.0713579381E+02         -8.9561111935E-01         0.0000000000E+00          1.9083515672E+01          3.4378427229E+00          3.6352869899E-01          
2021-03-11                16:05:06.329              69.67021215               1672.085092               70.67021215               1615478706.330            2                         963                       4.9998964284E+01          8.0005027771E+01          4.5000755310E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1154349115E+04          0.0000000000E+00          2.3768143266E+03          -2.3782087424E+01         -1.0771923814E+02         2.1371223592E-01          0.0000000000E+00          1.8731029842E+01          5.3581702328E+00          3.4606842138E-01          
2021-03-11                16:05:07.187              69.67022208               1672.085330               70.67022208               1615478707.188            2                         963                       4.9998831177E+01          8.0005027771E+01          4.5000755310E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1154179102E+04          0.0000000000E+00          2.3401319335E+03          -2.3785756899E+01         -1.0430507643E+02         -1.0801107228E-01         0.0000000000E+00          1.8991572880E+01          4.6649383074E+00          3.5098579755E-01          
2021-03-11                16:05:08.040              69.67023196               1672.085567               70.67023196               1615478708.041            2                         963                       4.9999122976E+01          8.0005027771E+01          4.5000755310E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1154095911E+04          0.0000000000E+00          2.3066877511E+03          -2.4118797643E+01         -1.0245988063E+02         9.2846284103E-01          0.0000000000E+00          1.8131898533E+01          4.2960873087E+00          3.8209751844E-01          
2021-03-11                16:05:08.895              69.67024185               1672.085804               70.67024185               1615478708.896            2                         963                       5.0001887360E+01          8.0005027771E+01          4.5000755310E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1155582891E+04          0.0000000000E+00          2.2724334850E+03          -2.3008979415E+01         -1.1445709247E+02         -1.1370533444E+00         0.0000000000E+00          1.8473842342E+01          4.3872622219E+00          3.5557010058E-01          
2021-03-11                16:05:09.755              69.67025179               1672.086043               70.67025179               1615478709.755            2                         963                       5.0002434158E+01          8.0007688904E+01          4.5000633240E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1155845573E+04          0.0000000000E+00          2.2425801343E+03          -2.5073310446E+01         -9.8110565770E+01         9.3550697754E-01          0.0000000000E+00          1.7931376928E+01          4.3037966874E+00          4.5245522875E-01          
2021-03-11                16:05:10.612              69.67026172               1672.086281               70.67026172               1615478710.613            2                         963                       4.9998887177E+01          8.0008354187E+01          4.5000602722E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1153786797E+04          0.0000000000E+00          2.2118632099E+03          -2.4053714419E+01         -1.0593332173E+02         -2.3486358646E-01         0.0000000000E+00          1.7536280375E+01          5.2218919038E+00          4.3242983364E-01          
2021-03-11                16:05:11.467              69.67027161               1672.086519               70.67027161               1615478711.467            2                         963                       4.9999986420E+01          8.0008354187E+01          4.5000602722E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1154239922E+04          0.0000000000E+00          2.1830324407E+03          -2.5358667164E+01         -1.0067818383E+02         8.2017562011E-01          0.0000000000E+00          1.7491609012E+01          3.2735019273E+00          2.7052533214E-01          
2021-03-11                16:05:12.325              69.67028155               1672.086757               70.67028155               1615478712.326            2                         963                       5.0000847499E+01          8.0008354187E+01          4.5000602722E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1154995898E+04          0.0000000000E+00          2.1537352493E+03          -2.4693032424E+01         -1.0175651360E+02         -2.1546487154E-01         0.0000000000E+00          1.7486336972E+01          5.4664087349E+00          3.8644310625E-01          
2021-03-11                16:05:13.184              69.67029149               1672.086996               70.67029149               1615478713.185            2                         963                       5.0001172434E+01          8.0008354187E+01          4.5000602722E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1155477031E+04          0.0000000000E+00          2.1229826942E+03          -2.2477433490E+01         -1.0316527420E+02         -8.9303957726E-02         0.0000000000E+00          1.7585364343E+01          4.8131438543E+00          3.1470563461E-01          
2021-03-11                16:05:14.042              69.67030142               1672.087234               70.67030142               1615478714.043            2                         963                       5.0002282257E+01          8.0008354187E+01          4.5000602722E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1156754531E+04          0.0000000000E+00          2.1004854225E+03          -2.4446912644E+01         -1.0107297057E+02         -1.1156203517E+00         0.0000000000E+00          1.7265788698E+01          3.5245165328E+00          2.6954047491E-01          
2021-03-11                16:05:14.897              69.67031131               1672.087471               70.67031131               1615478714.897            2                         963                       5.0002359772E+01          8.0007585144E+01          4.5000653992E+01          3.7625000000E+01          4.4825653381E+01          0.0000000000E+00          3.1157123437E+04          0.0000000000E+00          2.0723560909E+03          -2.2765467144E+01         -1.0201009123E+02         -1.6879294500E-01         0.0000000000E+00          1.6606541604E+01          3.2518646595E+00          3.1717341775E-01          
2021-03-11                16:05:15.750              69.67032119               1672.087709               70.67032119               1615478715.751            2                         963                       4.9998479360E+01          8.0006523132E+01          4.5000724792E+01          3.7625000000E+01          4.4825706482E+01          0.0000000000E+00          3.1155035000E+04          0.0000000000E+00          2.0494674241E+03          -2.4755450216E+01         -9.7187113689E+01         8.4390814249E-01          0.0000000000E+00          1.6181252359E+01          4.8716119160E+00          3.6787791953E-01          
2021-03-11                16:05:16.604              69.67033106               1672.087946               70.67033106               1615478716.604            2                         963                       4.9999267578E+01          8.0006523132E+01          4.5000724792E+01          3.7625000000E+01          4.4825706482E+01          0.0000000000E+00          3.1155201172E+04          0.0000000000E+00          2.0245785065E+03          -2.4080889965E+01         -9.7366579410E+01         6.7846792353E-01          0.0000000000E+00          1.6261820171E+01          4.4043443849E+00          2.8695344432E-01          
2021-03-11                16:05:17.457              69.67034095               1672.088183               70.67034095               1615478717.458            2                         963                       5.0001785126E+01          8.0006523132E+01          4.5000724792E+01          3.7625000000E+01          4.4825706482E+01          0.0000000000E+00          3.1156857057E+04          0.0000000000E+00          2.0028766548E+03          -2.4281038051E+01         -1.0099715844E+02         1.1518278662E+00          0.0000000000E+00          1.5900653537E+01          3.6255478195E+00          4.2956830962E-01          
2021-03-11                16:05:18.311              69.67035082               1672.088420               70.67035082               1615478718.311            2                         963                       4.9999905141E+01          8.0006523132E+01          4.5000724792E+01          3.7625000000E+01          4.4825706482E+01          0.0000000000E+00          3.1156386328E+04          0.0000000000E+00          1.9820424799E+03          -2.3982140092E+01         -1.0095058991E+02         -2.0300477083E-01         0.0000000000E+00          1.6515105713E+01          1.7984759508E+00          2.0993340231E-01          
2021-03-11                16:05:19.164              69.67036069               1672.088657               70.67036069               1615478719.164            2                         963                       4.9999507065E+01          8.0006523132E+01          4.5000724792E+01          3.7625000000E+01          4.4825706482E+01          0.0000000000E+00          3.1155914583E+04          0.0000000000E+00          1.9622050931E+03          -2.4299190561E+01         -1.0194927152E+02         -5.0956832658E-01         0.0000000000E+00          1.6038185756E+01          4.0352218020E+00          4.6704598622E-01          
2021-03-11                16:05:20.017              69.67037058               1672.088894               70.67037058               1615478720.018            2                         963                       5.0001177800E+01          8.0006430562E+01          4.5000650736E+01          3.7625000000E+01          4.4825650940E+01          0.0000000000E+00          3.1156638255E+04          0.0000000000E+00          1.9405392231E+03          -2.4654066920E+01         -1.0041495361E+02         3.7732544478E-01          0.0000000000E+00          1.6131992862E+01          3.9174796505E+00          3.5022749981E-01          
2021-03-11                16:05:20.871              69.67038045               1672.089131               70.67038045               1615478720.871            2                         963                       4.9999382884E+01          8.0006370544E+01          4.5000602722E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1155713099E+04          0.0000000000E+00          1.9211910428E+03          -2.5376097025E+01         -9.7471651768E+01         -3.3665496771E-01         0.0000000000E+00          1.5882845391E+01          5.3666035838E+00          4.0128051086E-01          
2021-03-11                16:05:21.724              69.67039034               1672.089368               70.67039034               1615478721.725            2                         963                       5.0000138219E+01          8.0006370544E+01          4.5000602722E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1155865312E+04          0.0000000000E+00          1.9039900344E+03          -2.4807771707E+01         -1.0209898452E+02         -8.2437060462E-01         0.0000000000E+00          1.6126944168E+01          2.9572851276E+00          2.1831078375E-01          
2021-03-11                16:05:22.578              69.67040021               1672.089605               70.67040021               1615478722.578            2                         963                       4.9999610901E+01          8.0006370544E+01          4.5000602722E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1156345703E+04          0.0000000000E+00          1.8850919150E+03          -2.5254269716E+01         -1.0508114532E+02         -4.7077890458E-01         0.0000000000E+00          1.5683353726E+01          3.0239430273E+00          3.5772867415E-01          
2021-03-11                16:05:23.434              69.67041013               1672.089843               70.67041013               1615478723.435            2                         963                       4.9998499552E+01          8.0006370544E+01          4.5000602722E+01          3.7625000000E+01          4.4825614929E+01          0.0000000000E+00          3.1154712044E+04          0.0000000000E+00          1.8650110014E+03          -2.3387973717E+01         -9.5446975309E+01         -1.5087677260E+00         0.0000000000E+00          1.5979158993E+01          3.6702566042E+00          2.8739043068E-01          
2021-03-11                16:05:24.290              69.67042003               1672.090081               70.67042003               1615478724.291            2                         963                       4.9998766530E+01          8.0005538839E+01          4.5000483907E+01          3.7625000000E+01          4.4825525818E+01          0.0000000000E+00          3.1154380234E+04          0.0000000000E+00          1.8495417961E+03          -2.5417302899E+01         -9.2990122622E+01         5.6207885237E-02          0.0000000000E+00          1.5297295848E+01          4.3409086746E+00          2.4504223479E-01          
2021-03-11                16:05:25.144              69.67042991               1672.090318               70.67042991               1615478725.144            2                         963                       4.9999691874E+01          8.0004661560E+01          4.5000358582E+01          3.7614166667E+01          4.4825431824E+01          0.0000000000E+00          3.1154623750E+04          0.0000000000E+00          1.8300767271E+03          -2.4303201399E+01         -1.0568785323E+02         1.2443878835E-01          0.0000000000E+00          1.5701553534E+01          2.7403906570E+00          2.6601190493E-01          
2021-03-11                16:05:25.997              69.67043979               1672.090555               70.67043979               1615478725.998            2                         963                       5.0001060486E+01          8.0004661560E+01          4.5000358582E+01          3.7562500000E+01          4.4825431824E+01          0.0000000000E+00          3.1154953125E+04          0.0000000000E+00          1.8156828231E+03          -2.5257057083E+01         -1.0342968732E+02         -2.7622939138E-01         0.0000000000E+00          1.5181508210E+01          3.7895269326E+00          4.5831691108E-01          
2021-03-11                16:05:26.851              69.67044966               1672.090792               70.67044966               1615478726.851            2                         963                       4.9999001872E+01          8.0004661560E+01          4.5000358582E+01          3.7562500000E+01          4.4825431824E+01          0.0000000000E+00          3.1153942031E+04          0.0000000000E+00          1.7992245980E+03          -2.6020143431E+01         -1.0622473491E+02         3.7111349805E-01          0.0000000000E+00          1.5565681903E+01          2.1609628333E+00          3.0924166007E-01          
2021-03-11                16:05:27.703              69.67045954               1672.091029               70.67045954               1615478727.704            2                         963                       4.9998107910E+01          8.0004661560E+01          4.5000358582E+01          3.7562500000E+01          4.4825431824E+01          0.0000000000E+00          3.1153165469E+04          0.0000000000E+00          1.7834104346E+03          -2.4610680745E+01         -9.4140719099E+01         8.8314463282E-01          0.0000000000E+00          1.4971643178E+01          3.3359958454E+00          3.8429157459E-01          
